Cumulative_Surplus_kWh,Cumulative_Deficit_kWh
48313.799999999996,67.88000000000001
48313.799999999996,68.25500000000001
48313.799999999996,68.45500000000001
48313.799999999996,68.555
48313.799999999996,68.93
48313.799999999996,69.63000000000001
48339.92999999999,69.63000000000001
48515.899999999994,69.63000000000001
48846.284999999996,69.63000000000001
49299.024999999994,69.63000000000001
49850.424999999996,69.63000000000001
50431.505,69.63000000000001
50980.354999999996,69.63000000000001
51468.405,69.63000000000001
51836.135,69.63000000000001
52065.505000000005,69.63000000000001
52124.575000000004,69.63000000000001
52124.575000000004,70.28000000000002
52124.575000000004,71.93000000000002
52124.575000000004,73.13000000000002
52124.575000000004,74.63000000000002
52124.575000000004,75.13000000000002
52124.575000000004,76.13000000000002
52124.575000000004,76.33000000000003
52124.575000000004,76.48000000000003
52124.575000000004,76.73000000000003
