PV_Size_kW,Battery_Size_kWh,Total_Cost_EUR,Payback_Period_Years,ROI_Percent
15,600,198000,0.9649453027649043,103.63281702441081
15,650,213000,1.0380472196410333,96.33473131846637
15,700,228000,1.1111491365171624,89.99692004751464
15,750,243000,1.1842510533932915,84.44155461248288
15,800,258000,1.2573529702694206,79.5321619024548
15,850,273000,1.3304548871455497,75.16226289682541
15,900,288000,1.4035568040216788,71.24756170428242
15,950,303000,1.4766587208978081,67.72045468921894
15,1000,318000,1.5497606377739372,64.52609361897275
15,1050,333000,1.6228625546500663,61.61951282532534
15,1100,348000,1.6959644715261954,58.963499341475114
15,1150,363000,1.7690663884023246,56.52699110422407
15,1200,378000,1.8421683052784537,54.28385653659613
15,1250,393000,1.9152702221545828,52.211953615352
15,1300,408000,1.9883721390307119,50.29239649714054
15,1350,423000,2.061474055906841,48.508978181639094
15,1400,438000,2.13457597278297,46.84771180555556
15,1450,453000,2.207677889659099,45.29646307027227
15,1500,468000,2.2807798065352283,43.84465335648149
15,1550,483000,2.3538817234113574,42.48301815907523
15,1600,498000,2.4269836402874865,41.2034091783802
15,1650,513000,2.5000855571636156,39.99863113222873
15,1700,528000,2.5731874740397447,38.86230638415405
15,1750,543000,2.646289390915874,37.78876200890117
15,1800,558000,2.719391307792003,36.772935073178026
15,1850,573000,2.792493224668132,35.81029279377545
15,1900,588000,2.865595141544261,34.896764916383226
15,1950,603000,2.93869705842039,34.02868618711996
15,2000,618000,3.0117989752965193,33.20274720199569
15,2050,633000,3.0849008921726484,32.41595224460243
20,50,39000,0.1900649838779357,526.1358402777779
20,100,54000,0.2631669007540648,379.9869957561729
20,150,69000,0.3362688176301939,297.38112711352665
20,200,84000,0.409370734506323,244.27735441468258
20,250,99000,0.48247265138245216,207.26563404882162
20,300,114000,0.5555745682585812,179.99384009502927
20,350,129000,0.6286764851347103,159.0643238049096
20,400,144000,0.7017784020108394,142.49512340856484
20,450,159000,0.7748803188869686,129.0521872379455
20,500,174000,0.8479822357630977,117.92699868295023
20,550,189000,0.9210841526392268,108.56771307319227
20,600,204000,0.9941860695153559,100.58479299428107
20,650,219000,1.067287986391485,93.69542361111112
20,700,234000,1.1403899032676141,87.68930671296297
20,750,249000,1.2134918201437432,82.4068183567604
20,800,264000,1.2865937370198723,77.7246127683081
20,850,279000,1.3596956538960014,73.54587014635605
20,900,294000,1.4327975707721305,69.79352983276645
20,950,309000,1.5058994876482596,66.40549440399138
20,1000,324000,1.5790014045243888,63.33116595936216
20,1050,339000,1.6521033214005179,60.52890197885941
20,1100,354000,1.725205238276647,57.964117996704346
20,1150,369000,1.798307155152776,55.60785303748872
20,1200,384000,1.8714090720289052,53.435671278211814
20,1250,399000,1.9445109889050343,51.42681145572266
20,1300,414000,2.0176129057811636,49.563521185587774
20,1350,429000,2.0907148226572927,47.83053093434344
20,1400,444000,2.163816739533422,46.214634618994005
20,1450,459000,2.236918656409551,44.70435244190269
20,1500,474000,2.31002057328568,43.28965774437413
20,1550,489000,2.383122490161809,41.961754132583515
20,1600,504000,2.456224407037938,40.712892402447096
20,1650,519000,2.5293263239140673,39.53621921162493
20,1700,534000,2.6024282407901964,38.425651256242205
20,1750,549000,2.6755301576663255,37.37577007437766
20,1800,564000,2.7486320745424546,36.38173363622933
20,1850,579000,2.8217339914185837,35.43920167674152
20,1900,594000,2.894835908294713,34.54427234147027
20,1950,609000,2.967937825170842,33.69342819512863
20,2000,624000,3.041039742046971,32.88349001736112
20,2050,639000,3.1141416589231,32.11157710615546
25,50,45000,0.21930575062838734,455.98439490740753
25,100,60000,0.29240766750451647,341.98829618055566
25,150,75000,0.36550958438064557,273.5906369444445
25,200,90000,0.43861150125677467,227.99219745370377
25,250,105000,0.5117134181329038,195.4218835317461
25,300,120000,0.5848153350090329,170.99414809027783
25,350,135000,0.657917251885162,151.99479830246915
25,400,150000,0.7310191687612911,136.79531847222225
